iter	RMSE
138	0.05933896247
139	0.05932200897
140	0.05929797636
141	0.05927387908
142	0.05925752839
143	0.05923347992
144	0.05921841675
145	0.05920114005
146	0.05918664615
147	0.0591705258
148	0.0591558765
149	0.05912919239
150	0.05911361737
151	0.05908539225
152	0.059070064
153	0.05905662311
154	0.05903962644
155	0.05902478955
156	0.0590102144
157	0.05898730677
158	0.05897039707
159	0.05895246446
160	0.05894034297
161	0.0589266826
162	0.05891111275
163	0.05888705755
164	0.05887395846
165	0.05886133691
166	0.05884772734
167	0.05883165937
168	0.05881835424
169	0.05880552009
170	0.05879464519
171	0.05878241155
172	0.05876490627
173	0.05874201727
174	0.05872609706
175	0.05870994035
176	0.05869009787
177	0.05867365732
178	0.05866398568
179	0.05865366034
180	0.05864321523
181	0.05862931212
182	0.05861594024
183	0.05860203414
184	0.05858962833
185	0.05857775823
186	0.0585646525
187	0.05854867363
188	0.05853512692
189	0.05851521125
190	0.05850204282
191	0.05849357061
192	0.05847339723
193	0.05846013585
194	0.05845191514
195	0.05844023988
196	0.05843053309
197	0.05841897371
198	0.05840710203
199	0.05838981873
200	0.05838140167
201	0.05836332644
202	0.05835193679
203	0.05832873575
204	0.05831515016
205	0.05830640306
206	0.05829537397
207	0.05827708702
208	0.05826477265
209	0.05824193512
210	0.05823168168
211	0.05822555496
212	0.05821314057
213	0.05820313024
214	0.05818232465
215	0.05816667098
216	0.05815199096
217	0.058141314
218	0.05812796111
219	0.05811864675
220	0.05811088888
221	0.05810302844
222	0.05808689983
223	0.05807597794
224	0.05805978574
225	0.0580482349
226	0.05803943179
227	0.05803255207
228	0.0580243935
229	0.0580113609
230	0.05800330808
231	0.05798951995
232	0.05797597418
233	0.05796238313
234	0.05795642979
235	0.05794809724
236	0.05793944923
237	0.05792689274
238	0.05791428786
239	0.05790649559
240	0.05789814532
241	0.05788673443
242	0.057874794
243	0.05786551272
244	0.05784567073
245	0.05783660287
246	0.05782525901
247	0.05781297332
248	0.05780479432
249	0.05779538035
250	0.05778393685
251	0.0577740564
252	0.05775796978
253	0.05775082225
254	0.05774345187
255	0.05772695846
256	0.05771293862
257	0.05770259119
258	0.05769483028
259	0.05768426092
260	0.05767288886
261	0.05766315874
262	0.05765022799
263	0.05763788558
264	0.05762707454
265	0.05762115011
266	0.0576050561
267	0.05758979487
268	0.05757502606
269	0.05756017395
270	0.05754966294
271	0.05754134221
272	0.05753639905
273	0.05752571924
274	0.05751343147
275	0.05750482954
276	0.05749081923
277	0.05748562929
278	0.05746726168
279	0.05745528896
280	0.05743761654
281	0.05742925123
282	0.05741737334
283	0.05740568614
284	0.05739768481
285	0.05739203271
286	0.05738174618
287	0.05737004995
288	0.05736031103
289	0.05735014475
290	0.05734465471
291	0.05733415919
292	0.05732523224
293	0.05730965153
294	0.05730350257
295	0.05728960105
296	0.0572769909
297	0.05726434244
298	0.05725765562
299	0.05725340223
300	0.05724313522
301	0.05723641393
302	0.05722730642
303	0.05722043038
304	0.057212917
305	0.0572058863
306	0.05719714919
307	0.05719079247
308	0.05718328408
309	0.05717197962
310	0.05716200586
311	0.05715394728
312	0.05714588045
313	0.05713796024
314	0.05713104318
315	0.05712299627
316	0.05710670308
317	0.05709233137
318	0.05708289614
319	0.05707451092
320	0.05706211529
321	0.05705477005
322	0.05704788392
323	0.05704313339
324	0.05703622267
325	0.05702217394
326	0.0570059483
327	0.05699559566
328	0.05698751534
329	0.05697906609
330	0.05697244578
331	0.05696726041
332	0.05695936001
333	0.05695146745
334	0.05694067258
335	0.05693623649
336	0.05692393049
337	0.05691805798
338	0.0569103152
339	0.05690552817
340	0.05689943028
341	0.05689010252
342	0.0568806856
343	0.05687176437
344	0.0568637559
345	0.05685124275
346	0.05683971118
347	0.05682870712
348	0.05682170945
349	0.05681362409
350	0.05680418375
351	0.0567994003
352	0.05678680311
353	0.0567718075
354	0.05675693159
355	0.05674540596
356	0.05674044545
357	0.05672830857
358	0.05671653857
359	0.0567086176
360	0.05670017703
361	0.05669412165
362	0.05668500596
363	0.05667669469
364	0.056670784
365	0.05665957298
366	0.05665078034
367	0.05664492441
368	0.0566395474
369	0.05662974033
370	0.05662402235
371	0.05661987587
372	0.05661328722
373	0.05660307304
374	0.05659627754
375	0.05658715508
376	0.05658315152
377	0.05657299123
378	0.0565617914
379	0.05655525715
380	0.0565444424
381	0.05653930593
382	0.05653423377
383	0.05652549362
384	0.05652088817
385	0.05651364898
386	0.0565066555
387	0.05649874832
388	0.0564900693
389	0.05648070816
390	0.05647446893
391	0.05646549614
392	0.05645655615
393	0.0564484239
394	0.05643649279
395	0.05642760049
396	0.05641887627
397	0.05641366345
398	0.05640429864
399	0.05639553475
400	0.05638700763
401	0.05638241071
402	0.05637006139
403	0.05636304107
404	0.05635592602
405	0.05634565976
406	0.05633691925
407	0.05632982617
408	0.05632310607
409	0.05631630026
410	0.05630790928
411	0.05630129858
412	0.05629536293
413	0.0562840193
414	0.05627297346
415	0.05626197428
416	0.05625224424
417	0.05623899994
418	0.0562275599
419	0.05621762306
420	0.05621139083
421	0.05620052077
422	0.05619356073
423	0.05618365952
424	0.0561736968
425	0.05615833098
426	0.05614940006
427	0.05614097507
428	0.05613715533
429	0.05612873575
430	0.05612195713
431	0.05611498916
432	0.05610977349
433	0.05610178498
434	0.05609113126
435	0.05607923116
436	0.05607194221
437	0.05606397553
438	0.05605362858
439	0.05604616206
440	0.05604008139
441	0.05602906009
442	0.05602057706
443	0.0560110648
444	0.05600769208
445	0.05599610488
446	0.05598935744
447	0.05598141353
448	0.05597278515
449	0.05596368102
450	0.05595808768
451	0.05595033023
452	0.05594052417
453	0.05592973242
454	0.05591920783
455	0.0559132025
456	0.05590317157
457	0.05589792704
458	0.05589470219
459	0.05588206853
460	0.05587701135
461	0.05587236154
462	0.05586029465
463	0.0558478736
464	0.05584270767
465	0.05583630424
466	0.0558284989
467	0.05582159452
468	0.05581746315
469	0.05580803111
470	0.05580325707
471	0.0558003002
472	0.05579819639
473	0.05578645627
474	0.05578164573
475	0.05577465895
476	0.05576814009
477	0.05576293576
478	0.05575393968
479	0.0557452104
480	0.05573415999
481	0.05572642249
482	0.05571809421
483	0.05570617285
484	0.05569593112
485	0.05568919297
486	0.05568628668
487	0.05567749746
488	0.05566656336
489	0.0556599697
490	0.05565146148
491	0.05564322984
492	0.05563975255
493	0.05563124855
494	0.05562788206
495	0.05562293894
496	0.0556133166
497	0.05560420484
498	0.05559282265
499	0.05558684062
500	0.05558255637
501	0.05557113863
502	0.0555637757
503	0.05555608771
504	0.05555072251
505	0.05554174884
506	0.05553680721
507	0.05552884069
508	0.05552238641
509	0.05551851677
510	0.05551214192
511	0.05549368938
512	0.0554826182
513	0.0554759275
514	0.05546355976
515	0.05545723912
516	0.05545219823
517	0.0554450672
518	0.055434535
519	0.05542247556
520	0.05541093488
521	0.05540663152
522	0.05540252061
523	0.0553959194
524	0.05538538152
525	0.05538016511
526	0.05536917045
527	0.05535954993
528	0.05534521712
529	0.05533529464
530	0.05532979404
531	0.05532111
532	0.05531534502
533	0.05531132848
534	0.0552979692
535	0.05529444444
536	0.05528996459
537	0.05528143806
538	0.05527486287
539	0.05526436266
540	0.05525561679
541	0.05524812896
542	0.0552442217
543	0.05523714853
544	0.05523351308
545	0.05523083698
546	0.05522726926
547	0.05522281711
548	0.05521713029
549	0.05520561855
550	0.05519580919
551	0.05518935282
552	0.05518523495
553	0.05517861695
554	0.05516993678
555	0.05515989608
556	0.05515286374
557	0.05514542652
558	0.0551400472
559	0.05513350496
560	0.05512704683
561	0.05512069314
562	0.05511674547
563	0.05511002696
564	0.05510395006
565	0.05509338404
566	0.05508958214
567	0.05508385941
568	0.05507934396
569	0.05507680997
570	0.05506626461
571	0.05505946603
572	0.05505489685
573	0.05504669427
574	0.05503948852
575	0.05503124852
576	0.0550225303
577	0.05501822615
578	0.05501530105
579	0.05500913787
580	0.05499901418
581	0.05498972109
582	0.05498320537
583	0.05497296033
584	0.05496803973
585	0.0549595373
586	0.05495097247
587	0.05494512977
588	0.05493864394
589	0.05493103698
590	0.05492738496
591	0.05492113412
592	0.05491753332
593	0.05490773363
594	0.05489873453
595	0.05488963759
596	0.05488488375
597	0.05487756036
598	0.05486883255
599	0.05486231546
600	0.05485544339
601	0.05484963503
602	0.05484316387
603	0.05483673277
604	0.0548249222
605	0.0548217734
606	0.05481155943
607	0.05480079782
608	0.05479340564
609	0.05478252719
610	0.05477736478
611	0.0547666856
612	0.05476246908
613	0.05475624028
614	0.0547485671
615	0.05474102477
616	0.0547353325
617	0.05472953741
618	0.05472489793
619	0.05471913148
620	0.05471395751
621	0.05470921072
622	0.05469936813
623	0.05469458101
624	0.05468742932
625	0.05468114918
626	0.05467591023
627	0.05466748146
628	0.05466404073
629	0.0546561964
630	0.05464595892
631	0.05463321897
632	0.05462490652
633	0.05461612157
634	0.05460640192
635	0.05460117815
636	0.05459058377
637	0.05458279038
638	0.05457555507
639	0.05456610783
640	0.05456072918
641	0.05455169522
642	0.05454376946
643	0.05453474387
644	0.05452845922
645	0.05451991249
646	0.05451649044
647	0.05451170405
648	0.054501809
649	0.05449734239
650	0.05448709
651	0.05447867683
652	0.05447511587
653	0.0544688262
654	0.05446353507
655	0.05445866184
656	0.05445227686
657	0.054445084
658	0.05443889176
659	0.0544325026
660	0.05442618184
661	0.05441952761
662	0.05441664511
663	0.05440898199
664	0.05440195916
665	0.05439775364
666	0.0543851033
667	0.05438073747
668	0.05437372783
669	0.05436499025
670	0.05435540723
671	0.05434953419
672	0.0543455642
673	0.05433995593
674	0.05432947912
675	0.05432227748
676	0.05431106304
677	0.05430319208
678	0.05429673074
679	0.05429144907
680	0.05428677027
681	0.0542833204
682	0.05427726714
683	0.05426867148
684	0.05426389886
685	0.0542544761
686	0.05425004163
687	0.0542469701
688	0.05423959434
689	0.05423536684
690	0.05423130783
691	0.05422150982
692	0.05421397486
693	0.0542111152
694	0.05420217499
695	0.05419575228
696	0.05419098262
697	0.05418656173
698	0.05418209729
699	0.05417781085
700	0.05417410243
701	0.05417230164
702	0.05416597493
703	0.05416093031
704	0.05415283277
705	0.05414891599
706	0.05414135965
707	0.05413731802
708	0.05413313515
709	0.05412497707
710	0.05411753957
711	0.05410855193
712	0.05410123439
713	0.05409633981
714	0.05408903379
715	0.05408597192
716	0.05407880557
717	0.05407144262
718	0.05406626312
719	0.05405930679
720	0.05405542463
721	0.05404310639
722	0.05403834209
723	0.05402972348
724	0.05402416339
725	0.05402061013
726	0.05401406037
727	0.05400556597
728	0.05399638449
729	0.05398745205
730	0.0539831087
731	0.05397276241
732	0.05396845369
733	0.05395721474
734	0.05395041593
735	0.05394365588
736	0.05393435069
737	0.05392997478
738	0.05392158598
739	0.0539108071
740	0.05390386846
741	0.05389937494
742	0.0538954001
743	0.05389323514
744	0.05388834999
745	0.05388602806
746	0.05387937509
747	0.05387204342
748	0.05386676732
749	0.05385905429
750	0.0538476716
751	0.0538426784
752	0.05383972722
753	0.0538311335
754	0.05382496702
755	0.05381992068
756	0.05381213289
757	0.05380720256
758	0.05380392802
759	0.05379770548
760	0.05379187746
761	0.0537851145
762	0.05377844527
763	0.05377350428
764	0.05376749201
765	0.05376085843
766	0.05375234483
767	0.05374485198
768	0.05373874754
769	0.0537366482
770	0.05373188133
771	0.05372731095
772	0.05372066673
773	0.05371423948
774	0.05370880962
775	0.05370172364
776	0.05369527707
777	0.05368816657
778	0.0536788948
779	0.05367480319
780	0.05366846901
781	0.05366411311
782	0.05365785161
783	0.05364879644
784	0.0536414086
785	0.05363176077
786	0.0536256112
787	0.05361648988
788	0.05361316195
789	0.05360641629
790	0.05359697474
791	0.05359306099
792	0.0535875562
793	0.05357956187
794	0.0535740424
795	0.05357055613
796	0.05356717408
797	0.05356273018
798	0.05355902855
799	0.05355349367
800	0.05355077161
801	0.05354935449
802	0.05354584761
803	0.05353981737
804	0.05353479736
805	0.05353259881
806	0.05352431309
807	0.05351853703
808	0.05351344468
809	0.05350476433
810	0.05350035328
811	0.05349240676
812	0.05348385804
813	0.05347767815
814	0.05347324013
815	0.05346761837
816	0.0534628846
817	0.05345691351
818	0.05345227774
819	0.05344780717
820	0.05344543184
821	0.05343836234
822	0.05342977451
823	0.0534209587
824	0.05341386691
825	0.05340804272
826	0.05340192072
827	0.0533961619
828	0.05339084068
829	0.0533859267
830	0.05338318466
831	0.05337935242
832	0.05337658908
833	0.05337147938
834	0.05336549234
835	0.05336125279
836	0.0533566335
837	0.05335064861
838	0.05334023495
839	0.05333269182
840	0.05332879492
841	0.05332028293
842	0.05331764054
843	0.05331512395
844	0.05331003125
845	0.05330473197
846	0.05329874507
847	0.05329005647
848	0.05328668143
849	0.05328328327
850	0.05327735506
851	0.05327375963
852	0.05326700155
853	0.05326127016
854	0.05325163751
855	0.0532468406
856	0.05324208528
857	0.05323544547
858	0.05322638533
859	0.05322121343
860	0.0532180959
861	0.05321500112
862	0.05320876324
863	0.053202299
864	0.05319794318
865	0.05319308405
866	0.05318590642
867	0.0531810787
868	0.05317494588
869	0.05316930789
870	0.05316197587
871	0.05315652978
872	0.05315051471
873	0.05314453915
874	0.05314201244
875	0.05313284256
876	0.05312502298
877	0.05312063784
878	0.05311680007
879	0.05311320718
880	0.05310710483
881	0.05310201326
882	0.05309473326
883	0.0530894853
884	0.05308571043
885	0.05308297396
886	0.053076136
887	0.05307328787
888	0.05306661352
889	0.05305812273
890	0.05305165932
891	0.05304722018
892	0.05303984827
893	0.05303580518
894	0.05303057824
895	0.05302240975
896	0.05301269341
897	0.05300740854
898	0.05300200222
899	0.05299821344
900	0.05299291753
901	0.05298740031
902	0.05298170971
903	0.05297313427
904	0.05297094122
905	0.05296426358
906	0.05295679368
907	0.05295255983
908	0.05294941111
909	0.05294368761
910	0.05293971403
911	0.0529367644
912	0.05293428159
913	0.05293056676
914	0.0529221887
915	0.05291327294
916	0.0529070437
917	0.05290072336
918	0.05288959217
919	0.05288642432
920	0.05287823164
921	0.0528738876
922	0.05286523309
923	0.05286094764
924	0.05285629425
925	0.0528520177
926	0.05284808535
927	0.05284051048
928	0.05283530657
929	0.05282852514
930	0.05282500122
931	0.0528198343
932	0.05281729207
933	0.0528135093
934	0.05280662296
935	0.05280349059
936	0.05279632742
937	0.05278845414
938	0.05278397937
939	0.0527783767
940	0.05277245346
941	0.05276478097
942	0.052760497
943	0.05275474337
944	0.0527472438
945	0.05274235472
946	0.05273820781
947	0.05273485725
948	0.05272709826
949	0.05272245814
950	0.0527155522
951	0.05271070263
952	0.05270496093
953	0.05269784228
954	0.05269601807
955	0.05269341581
956	0.05268902757
957	0.0526815283
958	0.05267464403
959	0.05267098041
960	0.05266492726
961	0.05266107174
962	0.05265471221
963	0.05264877891
964	0.0526463057
965	0.05264084684
966	0.05263745337
967	0.05262614666
968	0.05262104334
969	0.05261484718
970	0.05260593347
971	0.05260009718
972	0.05259720973
973	0.05259053492
974	0.05258479751
975	0.05257908849
976	0.05257391289
977	0.05256849876
978	0.05256239704
979	0.05255601589
980	0.05255189686
981	0.05254181084
982	0.05253716017
983	0.05252873679
984	0.05252211138
985	0.05251800713
986	0.0525144585
987	0.05250780223
988	0.05250142026
989	0.05249773099
990	0.05249224699
991	0.05248897764
992	0.05248375438
993	0.05247616181
994	0.05247034404
995	0.05246637921
996	0.05246183819
997	0.05245681585
998	0.05245123448
999	0.05244548765
1000	0.05244166836
1001	0.05243898558
1002	0.05243323546
1003	0.05243085686
1004	0.05242666008
1005	0.05241705261
1006	0.05241102059
1007	0.0524038659
1008	0.05239690631
1009	0.05239198842
1010	0.05238705842
1011	0.05238203862
1012	0.05237734075
1013	0.05237303285
1014	0.05237112352
1015	0.05236475985
1016	0.0523589841
1017	0.05235679253
1018	0.05235131125
1019	0.0523488784
1020	0.05234586244
1021	0.05233928775
1022	0.05233485621
1023	0.0523328133
1024	0.05232704763
1025	0.05232302334
1026	0.05231689882
1027	0.05231194618
1028	0.05230738203
1029	0.05230263661
1030	0.05229699404
1031	0.05229455477
1032	0.05228810397
1033	0.05228236061
1034	0.05227822391
1035	0.05227293679
1036	0.05227001764
1037	0.05226595976
1038	0.05226110936
1039	0.05225718705
